Type,Vehicles Category,Type of Vehicles,Newly registered - 2002-03,Newly registered - 2003-04,Total registered as on - 31.3.2003,Total registered as on - 31.3.2004,source_file,Newly registered-2004-05,Newly registered-2005-06,Total registered as on 31.3.2005,Total registered as on 31.3.2006,Newly registered-2009-10,Newly registered-2010-11,Total registered as on 31st March-2010,Total registered as on 31st March-2011,Newly registered-2006-07,Newly registered-2007-08,Newly registered-2008-09,Total registered as on 2007,Total registered as on 2008,Total registered as on 2009,Newly registered-2011-12,Total registered as on 31st March 2012
Transport,I. Multiaxled / Articulated Vehicles,Multiaxled / Articulated Vehicles,,,,,2.3.4_Bihar_rtyb_2004_05_1.csv,,,,,,,,,,,,,,,,
Transport,II. Trucks & Lorries,Trucks & Lorries,152.0,368.0,48212.0,30516.0,2.3.4_Bihar_rtyb_2004_05_1.csv,,,,,,,,,,,,,,,,
Transport,III. Light Motor Vehicles (Goods),Four Wheelers,582.0,192.0,9577.0,9491.0,2.3.4_Bihar_rtyb_2004_05_1.csv,,,,,,,,,,,,,,,,
Transport,III. Light Motor Vehicles (Goods),Three Wheelers,69.0,1100.0,7130.0,22805.0,2.3.4_Bihar_rtyb_2004_05_1.csv,,,,,,,,,,,,,,,,
Transport,Total-III. Light Motor Vehicles (Goods),Total Light Motor Vehicles (Goods),651.0,1292.0,16707.0,32296.0,2.3.4_Bihar_rtyb_2004_05_1.csv,,,,,,,,,,,,,,,,
Transport,IV. Buses,Stage carriages,,,,,2.3.4_Bihar_rtyb_2004_05_1.csv,,,,,,,,,,,,,,,,
Transport,IV. Buses,Contract carriages,,,,,2.3.4_Bihar_rtyb_2004_05_1.csv,,,,,,,,,,,,,,,,
Transport,IV. Buses,Private service vehicles,,,,,2.3.4_Bihar_rtyb_2004_05_1.csv,,,,,,,,,,,,,,,,
Transport,IV. Buses,Other buses,,,,,2.3.4_Bihar_rtyb_2004_05_1.csv,,,,,,,,,,,,,,,,
Transport,Total-IV. Buses,Total Buses,128.0,363.0,15493.0,10961.0,2.3.4_Bihar_rtyb_2004_05_1.csv,,,,,,,,,,,,,,,,
Transport,V. Taxis,Motor cabs,,,,,2.3.4_Bihar_rtyb_2004_05_1.csv,,,,,,,,,,,,,,,,
Transport,V. Taxis,Maxi cabs,,,,,2.3.4_Bihar_rtyb_2004_05_1.csv,,,,,,,,,,,,,,,,
Transport,V. Taxis,Other taxis,,,,,2.3.4_Bihar_rtyb_2004_05_1.csv,,,,,,,,,,,,,,,,
Transport,Total- V. Taxis,Total Taxis,446.0,504.0,21149.0,14000.0,2.3.4_Bihar_rtyb_2004_05_1.csv,,,,,,,,,,,,,,,,
Transport,VI. Light Motor Vehicles (Passengers),Three seaters,1828.0,2155.0,32615.0,5998.0,2.3.4_Bihar_rtyb_2004_05_1.csv,,,,,,,,,,,,,,,,
Transport,VI. Light Motor Vehicles (Passengers),Four to six seaters,1133.0,548.0,33701.0,3509.0,2.3.4_Bihar_rtyb_2004_05_1.csv,,,,,,,,,,,,,,,,
Transport,Total- VI. Light Motor Vehicles (Passengers),Total Light Motor Vehicles (Passengers),2961.0,2703.0,66316.0,9507.0,2.3.4_Bihar_rtyb_2004_05_1.csv,,,,,,,,,,,,,,,,
Transport,VII. Motor cycles on hire,Motor cycles on hire,,,,,2.3.4_Bihar_rtyb_2004_05_1.csv,,,,,,,,,,,,,,,,
Transport,Total Transport(I to VII),Total Transport,4338.0,5230.0,167877.0,97280.0,2.3.4_Bihar_rtyb_2004_05_1.csv,,,,,,,,,,,,,,,,
Non Transport,I. Two wheelers,Scooters,,,,,2.3.4_Bihar_rtyb_2004_05_1.csv,,,,,,,,,,,,,,,,
Non Transport,I. Two wheelers,Mopeds,,,,,2.3.4_Bihar_rtyb_2004_05_1.csv,,,,,,,,,,,,,,,,
Non Transport,I. Two wheelers,Motor cycles,,,,,2.3.4_Bihar_rtyb_2004_05_1.csv,,,,,,,,,,,,,,,,
Non Transport,Total-I. Two wheelers,Total Two wheelers,64736.0,96423.0,709213.0,469751.0,2.3.4_Bihar_rtyb_2004_05_1.csv,,,,,,,,,,,,,,,,
Non Transport,II. Cars,Cars,3497.0,3846.0,61832.0,27508.0,2.3.4_Bihar_rtyb_2004_05_1.csv,,,,,,,,,,,,,,,,
Non Transport,III. Jeeps,Jeeps,,1773.0,,21726.0,2.3.4_Bihar_rtyb_2004_05_1.csv,,,,,,,,,,,,,,,,
Non Transport,IV. Omni buses,Omni buses,,60.0,,3259.0,2.3.4_Bihar_rtyb_2004_05_1.csv,,,,,,,,,,,,,,,,
Non Transport,V. Tractors,Tractors,4151.0,6019.0,111200.0,77848.0,2.3.4_Bihar_rtyb_2004_05_1.csv,,,,,,,,,,,,,,,,
Non Transport,VI. Trailers,Trailers,2642.0,3024.0,66497.0,50403.0,2.3.4_Bihar_rtyb_2004_05_1.csv,,,,,,,,,,,,,,,,
Non Transport,VII. Other vehicles not covered,Other vehicles not covered,1296.0,318.0,4779.0,2928.0,2.3.4_Bihar_rtyb_2004_05_1.csv,,,,,,,,,,,,,,,,
Non Transport,Total Non Transport (I to VII),Total Non-Transport,76322.0,111463.0,953521.0,653423.0,2.3.4_Bihar_rtyb_2004_05_1.csv,,,,,,,,,,,,,,,,
Transport + Non-transport,Grand Total (Transport + Non-Transport),Grand Total (Transport + Non-Transport),80660.0,116693.0,1121398.0,750703.0,2.3.4_Bihar_rtyb_2004_05_1.csv,,,,,,,,,,,,,,,,
Transport,I. Multiaxled / Articulated Vehicles,Multiaxled / Articulated Vehicles,,,,,2.3.4_Bihar_rtyb_2006_07_1.csv,,,,,,,,,,,,,,,,
Transport,II. Trucks & Lorries,Trucks & Lorries,,,,,2.3.4_Bihar_rtyb_2006_07_1.csv,489.0,579.0,49437.0,50016.0,,,,,,,,,,,,
Transport,III. Light Motor Vehicles (Goods),Four Wheelers,,,,,2.3.4_Bihar_rtyb_2006_07_1.csv,,,,,,,,,,,,,,,,
Transport,III. Light Motor Vehicles (Goods),Three Wheelers,,,,,2.3.4_Bihar_rtyb_2006_07_1.csv,,,,,,,,,,,,,,,,
Transport,Total-III. Light Motor Vehicles (Goods),Total Light Motor Vehicles (Goods),,,,,2.3.4_Bihar_rtyb_2006_07_1.csv,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Transport,IV. Buses,Stage carriages,,,,,2.3.4_Bihar_rtyb_2006_07_1.csv,,,,,,,,,,,,,,,,
Transport,IV. Buses,Contract carriages,,,,,2.3.4_Bihar_rtyb_2006_07_1.csv,,,,,,,,,,,,,,,,
Transport,IV. Buses,Private service vehicles,,,,,2.3.4_Bihar_rtyb_2006_07_1.csv,,,,,,,,,,,,,,,,
Transport,IV. Buses,Other buses,,,,,2.3.4_Bihar_rtyb_2006_07_1.csv,146.0,113.0,16158.0,16271.0,,,,,,,,,,,,
Transport,Total-IV. Buses,Total Buses,,,,,2.3.4_Bihar_rtyb_2006_07_1.csv,146.0,113.0,16158.0,16271.0,,,,,,,,,,,,
Transport,V. Taxis,Motor cabs,,,,,2.3.4_Bihar_rtyb_2006_07_1.csv,,,,,,,,,,,,,,,,
Transport,V. Taxis,Maxi cabs,,,,,2.3.4_Bihar_rtyb_2006_07_1.csv,,,,,,,,,,,,,,,,
Transport,V. Taxis,Other taxis,,,,,2.3.4_Bihar_rtyb_2006_07_1.csv,284.0,427.0,22271.0,22698.0,,,,,,,,,,,,
Transport,Total- V. Taxis,Total Taxis,,,,,2.3.4_Bihar_rtyb_2006_07_1.csv,284.0,427.0,22271.0,22698.0,,,,,,,,,,,,
Transport,VI. Light Motor Vehicles (Passengers),Three seaters,,,,,2.3.4_Bihar_rtyb_2006_07_1.csv,2882.0,3273.0,39823.0,43096.0,,,,,,,,,,,,
Transport,VI. Light Motor Vehicles (Passengers),Four to six seaters,,,,,2.3.4_Bihar_rtyb_2006_07_1.csv,284.0,427.0,2227.0,2269.0,,,,,,,,,,,,
Transport,Total- VI. Light Motor Vehicles (Passengers),Total Light Motor Vehicles (Passengers),,,,,2.3.4_Bihar_rtyb_2006_07_1.csv,3166.0,3700.0,42050.0,45365.0,,,,,,,,,,,,
Transport,VII. Motor cycles on hire,Motor cycles on hire,,,,,2.3.4_Bihar_rtyb_2006_07_1.csv,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Transport,Total Transport(I to VII),Total Transport,,,,,2.3.4_Bihar_rtyb_2006_07_1.csv,4085.0,4819.0,129916.0,134350.0,,,,,,,,,,,,
Non Transport,I. Two wheelers,Scooters,,,,,2.3.4_Bihar_rtyb_2006_07_1.csv,,,,,,,,,,,,,,,,
Non Transport,I. Two wheelers,Mopeds,,,,,2.3.4_Bihar_rtyb_2006_07_1.csv,,,,,,,,,,,,,,,,
Non Transport,I. Two wheelers,Motor cycles,,,,,2.3.4_Bihar_rtyb_2006_07_1.csv,,,,,,,,,,,,,,,,
Non Transport,Total-I. Two wheelers,Total Two wheelers,,,,,2.3.4_Bihar_rtyb_2006_07_1.csv,73281.0,61333.0,903261.0,964594.0,,,,,,,,,,,,
Non Transport,II. Cars,Cars,,,,,2.3.4_Bihar_rtyb_2006_07_1.csv,3499.0,5062.0,71834.0,76896.0,,,,,,,,,,,,
Non Transport,III. Jeeps,Jeeps,,,,,2.3.4_Bihar_rtyb_2006_07_1.csv,1836.0,2321.0,39542.0,41863.0,,,,,,,,,,,,
Non Transport,IV. Omni buses,Omni buses,,,,,2.3.4_Bihar_rtyb_2006_07_1.csv,146.0,113.0,16158.0,16271.0,,,,,,,,,,,,
Non Transport,V. Tractors,Tractors,,,,,2.3.4_Bihar_rtyb_2006_07_1.csv,5244.0,3509.0,126968.0,130477.0,,,,,,,,,,,,
Non Transport,VI. Trailers,Trailers,,,,,2.3.4_Bihar_rtyb_2006_07_1.csv,3056.0,2440.0,73154.0,75594.0,,,,,,,,,,,,
Non Transport,VII. Other vehicles not covered,Other vehicles not covered,,,,,2.3.4_Bihar_rtyb_2006_07_1.csv,410.0,1306.0,7263.0,8569.0,,,,,,,,,,,,
